"","PlayerName","Pos","Bats","Age","AAV_Pred","HR","BABIP","wOBA","wRC+","Off","Def","OPS"
"1","Aaron Hicks","OF","S",34,5306487.983,20,0.283,0.302,96,1.1,-5.7,0.673
"2","Adam Duvall","OF","R",35,5296420.947,71,0.276,0.323,102,5.9,7,0.766
"3","Adam Frazier","2B","L",32,4599304.405,21,0.293,0.307,96,-4.8,-3.1,0.697
"4","Amed Rosario","SS","R",28,6840245.516,28,0.327,0.308,99,-2.1,-5.6,0.711
"5","Andrew McCutchen","OF","R",37,7565326.468,56,0.276,0.329,106,9,-33,0.749
"6","Austin Hedges","C","R",31,3833853.937,18,0.211,0.222,38,-67.5,43.5,0.497
"7","Brandon Crawford","SS","L",37,3695241.209,40,0.294,0.318,103,9.9,33.3,0.737
"8","Carlos Santana","1B","S",38,5294533.334,61,0.232,0.308,94,-11.6,-27.1,0.7
"9","Cody Bellinger","OF","L",28,20869033.55,55,0.269,0.306,94,-1.2,0.4,0.714
"10","Gio Urshela","3B","R",32,5423549.679,29,0.331,0.319,106,-5.8,0.2,0.738
"11","Harrison Bader","OF","R",30,5477414.92,28,0.289,0.298,89,-2.5,23.1,0.692
"12","Isiah Kiner-Falefa","OF","R",29,4805735.094,18,0.298,0.289,83,-28.4,7.3,0.655
"13","Jason Heyward","OF","L",34,6141132.091,24,0.268,0.302,90,-9.7,0.5,0.693
"14","Jeimer Candelario","3B","S",30,8292938.33,51,0.297,0.326,107,14.7,-1.2,0.753
"15","Joc Pederson","OF","L",32,11361685.85,56,0.286,0.339,117,23.8,-39.1,0.789
"16","Joey Gallo","OF","L",30,6008650.833,78,0.237,0.322,106,16.8,-7.8,0.74
"17","Joey Wendle","3B","L",34,2292952.201,16,0.299,0.288,83,-24.9,16,0.665
"18","Jorge Soler","OF","R",32,8263440.749,76,0.26,0.334,109,6.1,-36.8,0.778
"19","Jurickson Profar","OF","S",31,4862892.63,28,0.273,0.308,93,-20.2,-34.9,0.693
"20","Justin Turner","1B","R",39,5961913.176,63,0.303,0.349,121,38.3,-20.3,0.807
"21","Lourdes Gurriel Jr.","OF","R",30,13182554.58,50,0.31,0.33,109,8.1,-13.3,0.767
"22","Matt Chapman","3B","R",31,16602082.88,71,0.29,0.323,110,27.9,26.4,0.742
"23","Mitch Garver","C","R",33,4060637.302,42,0.291,0.356,128,25.6,-6.8,0.826
"24","Randal Grichuk","OF","R",32,4502216.724,57,0.294,0.315,90,-26.7,-20.1,0.733
"25","Rhys Hoskins","1B","R",31,14863349.21,57,0.283,0.353,124,28,-23.7,0.822
"27","Shohei Ohtani","DH","L",29,79282877.1,124,0.321,0.397,157,134.3,-44.5,0.964
"28","Tim Anderson","SS","R",31,3571037.115,24,0.348,0.308,95,-1,13.4,0.707
"29","Tom Murphy","C","R",33,3079581.722,20,0.31,0.322,110,3.4,0.7,0.742
"30","Travis Jankowski","OF","L",33,2902689.239,2,0.298,0.301,88,-5.6,2.4,0.666
"31","Victor Caratini","C","S",30,6632947.064,23,0.267,0.289,83,-30.8,17.6,0.655
"32","Whit Merrifield","OF","R",35,4079515.019,32,0.301,0.302,90,-10.6,8,0.696
