"","Team","ERA_Rank2023","K/9_Rank2023","BB/9_Rank2023","LOB%_Rank2023","FIP_Rank2023","GB%_Rank2023","HR/FB_Rank2023"
"1","CLE",10,26,17,10,13,26,1
"2","STL",24,29,19,27,22,2,2
"3","BAL",7,16,6,7,5,9,3
"4","DET",17,21,8,26,9,14,4
"5","OAK",29,25,30,28,28,30,5
"6","PIT",22,20,25,25,21,13,6
"7","SEA",3,10,2,6,2,12,7
"8","MIN",5,1,4,4,3,22,8
"9","KC",6,4,3,16,1,5,9
"10","NYM",19,15,26,8,23,17,10
"11","SD",2,11,21,1,11,3,11
"12","TEX",18,24,11,13,18,18,12
"13","CHC",14,19,14,19,12,6,13
"14","PHI",12,9,7,20,6,7,14
"15","ARI",20,23,16,21,19,19,15
"16","ATL",15,2,18,11,8,15,16
"17","HOU",8,7,20,5,17,20,17
"18","SF",28,27,22,29,25,21,18
"19","LAA",23,8,28,23,24,28,19
"20","TOR",4,3,9,2,7,25,20
"21","NYY",9,12,13,9,16,10,21
"22","LAD",13,17,5,12,15,16,22
"23","CIN",25,18,27,17,27,29,23
"24","TB",11,22,1,22,4,1,24
"25","MIA",16,5,15,15,10,4,25
"26","MIL",1,14,10,3,14,11,26
"27","CHW",26,6,29,24,26,27,27
"28","BOS",21,13,12,18,20,8,28
"29","COL",30,30,23,30,30,23,29
"30","WSH",27,28,24,14,29,24,30
